File Name,Component RT,Compound Name,CAS#,Component RI,Component Area,Formula,Match Factor
5-1.D,6.40697226812508,Trimethylene oxide,503-30-0,789.833884585158,2185254.81943004,C3H6O,87.5007967860421
6-2.D,6.40741571573094,Propanal,123-38-6,789.878863549137,1786187.66895831,C3H6O,86.9402627884874
3-1.D,6.40766435279164,Propanal,123-38-6,789.904082847311,4232061.00851861,C3H6O,94.0465714902396
3-3.D,6.4077893670227,Propanal,123-38-6,789.916763061436,4121068.0990725,C3H6O,93.9045702038811
6-3.D,6.40793991377548,Trimethylene oxide,503-30-0,789.932033043461,1647738.4635956,C3H6O,86.1088153743679
6-1.D,6.40803845422549,Propanal,123-38-6,789.942028017597,1667531.20619132,C3H6O,86.6959494958022
1-3.D,6.40813753866919,Propanal,123-38-6,789.952078169104,3544582.74308289,C3H6O,93.2421195438679
4-2.D,6.4082650159549,Trimethylene oxide,503-30-0,789.965008211269,1336816.45628122,C3H6O,86.2534563519243
3-2.D,6.40877428984882,Propanal,123-38-6,790.016663946528,3992566.95452205,C3H6O,93.2172980364863
1-2.D,6.4094622558502,Propanal,123-38-6,790.08644445179,3592140.13965794,C3H6O,93.3519698187278
1-1.D,6.41029241857676,Propanal,123-38-6,790.170647994397,3455894.12351679,C3H6O,93.4114639088719
5-2.D,6.41059101811619,Propanal,123-38-6,790.200934995049,2335476.26807966,C3H6O,88.1166924135342
